epoch,train_loss,val_loss,train_acc,val_acc
1,1.0644592220584552,0.9704131960868836,0.43548387096774194,0.65
2,0.9359504083792368,0.8664149641990662,0.6478494623655914,0.825
3,0.8369461794694265,0.806587529182434,0.760752688172043,0.8625
4,0.7530617465575536,0.7561864018440246,0.8225806451612904,0.8875
5,0.6970975548028946,0.6995531439781189,0.8333333333333334,0.925
6,0.6373948305845261,0.6503684043884277,0.8709677419354839,0.9375
7,0.5856771593292555,0.5842138767242432,0.9032258064516129,0.975
8,0.5474235961834589,0.5509024739265442,0.9086021505376344,0.9375
9,0.511596625049909,0.497730964422226,0.9327956989247311,1.0
10,0.49292435372869176,0.48340062499046327,0.9327956989247311,0.975
11,0.46402665972709656,0.44666471481323244,0.946236559139785,0.9875
12,0.450958963483572,0.4247478485107422,0.9274193548387096,1.0
13,0.3951467884083589,0.3961622416973114,0.9596774193548387,1.0
14,0.39141544575492543,0.3775691747665405,0.9596774193548387,1.0
15,0.3976282017926375,0.36021165251731874,0.9408602150537635,1.0
16,0.3247640697906415,0.32878018021583555,0.9704301075268817,1.0
17,0.33345731782416504,0.2976591467857361,0.9596774193548387,1.0
18,0.3373487275093794,0.2864670157432556,0.946236559139785,1.0
19,0.29531115231414634,0.29991342425346373,0.978494623655914,1.0
20,0.2962083015590906,0.27287820279598235,0.9596774193548387,1.0
